course_id,course_name,credits,category,prereq,notes
AEST2210,20th Century Art,,GenEd_AH,,
AEST2250,History of Photography,,GenEd_AH,,
AEST2310,Aesth & Crit Studies Sem,,GenEd_AH,,
AEST2410,Art Serving Pol.Rel.& Soc.,,GenEd_AH,,
AEST2800,From Collective to Per. Aesth.,,GenEd_AH,,
AEST3520,Contemporary Art and Culture,,GenEd_AH,,
AEST3600,Aest/Crit St: Graphic Design,,GenEd_AH,,
AEST3610,Aesth Crit St New Media,,GenEd_AH,,
AEST3620,Post-digital Aesthetics,,GenEd_AH,,
AEST3800,Understanding Movies,,GenEd_AH,,
AEST4900,Aesth & Crit Studies Sem,,GenEd_AH,,
AEST4940,Dir St: Aesthetic Concepts,,GenEd_AH,,
AEST4960,Practicum Exp: Aest Concepts,,GenEd_AH,,
AMST2480,Values in American Culture,,GenEd_AH,,
AMST2570,Family in American Lit,,GenEd_AH,,
ARHI 5CO-OP,Curricula Practical Training,,GenEd_AH,,
ARHI1010,Art Appreciation,,GenEd_AH,,
ARHI1050,Comparative Arts,,GenEd_AH,,
ARHI1110,Found in Cultural Studies,,GenEd_AH,,
ARHI2030,History Of Art:Preh-Med,,GenEd_AH,,
ARHI2040,Hist Of Art II:Ren - Mod,,GenEd_AH,,
ARHI2060,History of Architecture,,GenEd_AH,,
ARHI2080,Cultural Studies I,,GenEd_AH,,
ARHI2090,Cultural Studies II,,GenEd_AH,,
ARHI2110,19th Century Art,,GenEd_AH,,
ARHI2210,20th Century Art,,GenEd_AH,,
ARHI2310,Greek & Roman Art,,GenEd_AH,,
ARHI3000,Art History,,GenEd_AH,,
ARHI3020,Studies In World Art,,GenEd_AH,,
ARHI3130,American Art,,GenEd_AH,,
ARHI3140,American Architecture,,GenEd_AH,,
ARHI3150,Modern Architecture,,GenEd_AH,,
ARHI3151,Islamic Art & Contemp Soc,,GenEd_AH,,
ARHI3210,Italian Renaissance Art,,GenEd_AH,,
ARHI3230,Northern Renaissance Art,,GenEd_AH,,
ARHI3250,Studies in Latin American Art,,GenEd_AH,,
ARHI3300,Italian Mannerism,,GenEd_AH,,
ARHI3310,Asian Art,,GenEd_AH,,
ARHI3320,Baroque Art in Italy,,GenEd_AH,,
ARHI3350,The Golden Age of Spanish Art,,GenEd_AH,,
ARHI3400,Women and Art,,GenEd_AH,,
ARHI3410,Medieval Art,,GenEd_AH,,
ARHI3450,Pre-Raphaelite Art,,GenEd_AH,,
ARHI3470,French Impress.& Post-Impress.,,GenEd_AH,,
ARHI3500,Post Modernism,,GenEd_AH,,
ARHI3520,Contemporary Art and Culture,,GenEd_AH,,
ARHI3530,His.of Pub.Art in the Mod.Era,,GenEd_AH,,
ARHI3550,The City and the Environment,,GenEd_AH,,
ARHI3600,Museum Issues,,GenEd_AH,,
ARHI3650,Art and Environment,,GenEd_AH,,
ARHI3700,Art History & Film,,GenEd_AH,,
ARHI4900,Art History Seminar,,GenEd_AH,,
ARHI4910,Art History Seminar,,GenEd_AH,,
ARHI4940,Dir St: Art History,,GenEd_AH,,
ARHI4950,Adv Tutorial:Art History,,GenEd_AH,,
ARHI4960,Pract Exp: Art History,,GenEd_AH,,
ARTS1000,Artbotics,,GenEd_AH,,
ARTS1010,Art Concepts I,,GenEd_AH,,
ARTS1020,Art Concepts II,,GenEd_AH,,
ARTS1050,Tangible Interaction Design,,GenEd_AH,,
ARTS1080,Intro to App Des & Mobile Comp,,GenEd_AH,,
ARTS1130,Digital Foundations,,GenEd_AH,,
ARTS1140,The Creative Process,,GenEd_AH,,
ARTS1150,Drawing for Non-Art Majors,,GenEd_AH,,
ARTS1350,Kinetic Projects,,GenEd_AH,,
ARTS1550,Drawing I,,GenEd_AH,,
ARTS1560,Drawing II,,GenEd_AH,,
ARTS1610,Light & Lens,,GenEd_AH,,
ARTS2010,Form & Content,,GenEd_AH,,
ARTS2100,Graphic Design I,,GenEd_AH,,
ARTS2200,Website Design I,,GenEd_AH,,
ARTS2210,Practicum/Internship,,GenEd_AH,,
ARTS2300,Typography I,,GenEd_AH,,
ARTS2320,Ceramics I,,GenEd_AH,,
ARTS2350,Sculpture I,,GenEd_AH,,
ARTS2420,Language of Video,,GenEd_AH,,
ARTS2450,Desktop Publish:LayoutDesign,,GenEd_AH,,
ARTS2560,Drawing III,,GenEd_AH,,
ARTS2570,Monotypes,,GenEd_AH,,
ARTS2590,Papermaking,,GenEd_AH,,
ARTS2610,Photography I,,GenEd_AH,,
ARTS2620,Digital Imaging & Photo,,GenEd_AH,,
ARTS2640,Computer Graphics/illust,,GenEd_AH,,
ARTS2650,Computer Art I,,GenEd_AH,,
ARTS2660,Alternative Photo Processing,,GenEd_AH,,
ARTS2670,Printmaking,,GenEd_AH,,
ARTS2680,Computer Art II,,GenEd_AH,,
ARTS2690,Color,,GenEd_AH,,
ARTS2700,Figure Drawing,,GenEd_AH,,
ARTS2710,Painting I,,GenEd_AH,,
ARTS2720,2D Animation I,,GenEd_AH,,
ARTS2730,Watercoler,,GenEd_AH,,
ARTS2741,Storyboarding and Comics,,GenEd_AH,,
ARTS2760,Intro/3D Modeling & Animation,,GenEd_AH,,
ARTS2770,Comp. & Motion Graphics,,GenEd_AH,,
ARTS2780,Interactive Media,,GenEd_AH,,
ARTS2900,Illustration I,,GenEd_AH,,
ARTS2950,Studio Workshop Abroad,,GenEd_AH,,
ARTS2951,BioArt Workshop in Portugal,,GenEd_AH,,
ARTS2960,Character & Layout Design,,GenEd_AH,,
ARTS2970,Studio Workshop,,GenEd_AH,,
ARTS2980,Book Arts,,GenEd_AH,,
ARTS3100,Graphic Design II,,GenEd_AH,,
ARTS3200,Web Design II,,GenEd_AH,,
ARTS3300,Typography II,,GenEd_AH,,
ARTS3320,Ceramics II,,GenEd_AH,,
ARTS3350,Sculpture II,,GenEd_AH,,
ARTS3420,Intermediate Video,,GenEd_AH,,
ARTS3450,Sonic Arts,,GenEd_AH,,
ARTS3451,Audio Production,,GenEd_AH,,
ARTS3610,Photography II,,GenEd_AH,,
ARTS3620,Adv Digital Imaging/win,,GenEd_AH,,
ARTS3670,Printmaking II,,GenEd_AH,,
ARTS3710,Painting II,,GenEd_AH,,
ARTS3711,Place:Visual Explor. of Lowell,,GenEd_AH,,
ARTS3730,Professional Photography,,GenEd_AH,,
ARTS3740,Animation Studio,,GenEd_AH,,
ARTS3760,3D Animation I,,GenEd_AH,,
ARTS3770,2D Animation II,,GenEd_AH,,
ARTS3780,Interactive Media ll,,GenEd_AH,,
ARTS3800,Special Topics in Art & Design,,GenEd_AH,,
ARTS3811,Game Design I,,GenEd_AH,,
ARTS3820,Art & Design of Data Visual.,,GenEd_AH,,
ARTS3870,Writing & Photography,,GenEd_AH,,
ARTS3950,Advertising Design Studio,,GenEd_AH,,
ARTS3970,Art & Copy,,GenEd_AH,,
ARTS3980,Documentary Image,,GenEd_AH,,
ARTS4000,Portfolio Seminar,,GenEd_AH,,
ARTS4100,Graphic Design III,,GenEd_AH,,
ARTS4110,Design In Motion,,GenEd_AH,,
ARTS4200,Web Design III,,GenEd_AH,,
ARTS4300,Typography III,,GenEd_AH,,
ARTS4310,Publication Design,,GenEd_AH,,
ARTS4350,Sculpture III,,GenEd_AH,,
ARTS4550,Thought Made Visible,,GenEd_AH,,
ARTS4710,Painting III,,GenEd_AH,,
ARTS4811,Game Design II,,GenEd_AH,,
