course_id,course_name,credits,prereq,notes,category,source_sheet
BMBT4000,Intro. to Biomedical Eng.,,,,TechElective,Sheet1
CIVE4700,Engineering Economics,,,,TechElective,Sheet1
COMP4270,Computer Graphics I,,,,TechElective,Sheet1
COMP4500,Mobile Robotics I,,,,TechElective,Sheet1
COMP4600,Selected Topics,,,,TechElective,Sheet1
EECE4100,Directed Studies,,,,TechElective,Sheet1
EECE4240,Comp.Meth./Power Sys.Analysis,,,,TechElective,Sheet1
EECE4410,Introduction to Biosensors,,,,TechElective,Sheet1
EECE5240,Comp.Meth./Power Sys.Analysis,,,,TechElective,Sheet1
EECE5250,Power Distribution System,,,,TechElective,Sheet1
EECE5410,Introduction to Biosensors,,,,TechElective,Sheet1
ENGN4000,Community-based EngProject III,,,,TechElective,Sheet1
ENGN4019,Eng Capstone Design Proposal,,,,TechElective,Sheet1
ENGY4340,Nuclear Reactor Theory,,,,TechElective,Sheet1
MATH4030,Mathematical Analysis,,,,TechElective,Sheet1
MATH4070,Prob & Math Stat I,,,,TechElective,Sheet1
MATH4110,Complex Variables I,,,,TechElective,Sheet1
MATH4130,Number Theory,,,,TechElective,Sheet1
MATH4200,Math Problem Solving,,,,TechElective,Sheet1
MATH4210,Abstract Algebra I,,,,TechElective,Sheet1
MATH4260,Topology,,,,TechElective,Sheet1
MATH4270,Geometry,,,,TechElective,Sheet1
MATH4450,Part Differential Equat,,,,TechElective,Sheet1
MATH4480,Math of Signal Process,,,,TechElective,Sheet1
MATH4500,Mathematical Modeling,,,,TechElective,Sheet1
MATH4750,Senior Seminar II,,,,TechElective,Sheet1
MATH4760,Senior Seminar III,,,,TechElective,Sheet1
MATH4860,Prob & Math Stat II,,,,TechElective,Sheet1
MATH4900,Selected Topics,,,,TechElective,Sheet1
MATH4910,Directed Study in Algebra,,,,TechElective,Sheet1
MATH4940,Directed Study in Statistics,,,,TechElective,Sheet1
MATH4960,Mathematics Practicum,,,,TechElective,Sheet1
MATH5000,Discrete Structures,,,,TechElective,Sheet1
MATH5010,Real Analysis,,,,TechElective,Sheet1
MATH5030,Mathematical Analysis,,,,TechElective,Sheet1
MATH5070,Functional Analysis I,,,,TechElective,Sheet1
MATH5090,Probabilty & Math Stats,,,,TechElective,Sheet1
MATH5100,Comp & Calc in Classroom,,,,TechElective,Sheet1
MATH5110,Complex Variables I,,,,TechElective,Sheet1
MATH5130,Number Theory,,,,TechElective,Sheet1
MATH5190,Intro to Probability & Stat II,,,,TechElective,Sheet1
MATH5200,Math Problem Solving,,,,TechElective,Sheet1
MATH5210,Abstract Algebra I,,,,TechElective,Sheet1
MATH5230,Linear Algebra,,,,TechElective,Sheet1
MATH5260,Topology,,,,TechElective,Sheet1
MATH5270,Geometry,,,,TechElective,Sheet1
MATH5290,Differential Geometry,,,,TechElective,Sheet1
MATH5300,Applied Mathematics I,,,,TechElective,Sheet1
MATH5310,Applied Mathematics II,,,,TechElective,Sheet1
MATH5320,Advanced Geometry,,,,TechElective,Sheet1
MATH5350,History of Mathematics,,,,TechElective,Sheet1
MATH5430,Ordinary Diff Equations,,,,TechElective,Sheet1
MATH5450,Partial Diff Equations,,,,TechElective,Sheet1
MATH5480,Math Of Signal Process,,,,TechElective,Sheet1
MATH5500,Mathematical Modeling,,,,TechElective,Sheet1
MATH5510,Calculus of Variations,,,,TechElective,Sheet1
MATH5520,Wavelet Analysis,,,,TechElective,Sheet1
MATH5550,Applied Math for Life Scien.,,,,TechElective,Sheet1
MATH5580,Eval. For Beg. Teachers,,,,TechElective,Sheet1
MATH5630,Computational Mathematics,,,,TechElective,Sheet1
MATH5640,Applied Linear Algebra,,,,TechElective,Sheet1
MATH5650,Special Functions,,,,TechElective,Sheet1
MATH5660,Numerical Analysis,,,,TechElective,Sheet1
MATH5680,Approximation Theory,,,,TechElective,Sheet1
MATH5700,Probability & Statistics,,,,TechElective,Sheet1
MATH5720,Optimization,,,,TechElective,Sheet1
MATH5750,Applied Statistics with R,,,,TechElective,Sheet1
MATH5760,Stat Prog using SAS,,,,TechElective,Sheet1
MATH5780,Stat Inference & Data Mining,,,,TechElective,Sheet1
MATH5820,Time Series,,,,TechElective,Sheet1
MATH5840,Stochastic Process,,,,TechElective,Sheet1
MATH5870,Measure and Probability Theory,,,,TechElective,Sheet1
MATH5880,Math Statistics,,,,TechElective,Sheet1
MATH5900,Stat Quality Control,,,,TechElective,Sheet1
MATH5910,Lin Stat Modlng & Regres,,,,TechElective,Sheet1
MATH5920,Multivariate Statistics,,,,TechElective,Sheet1
MATH5930,Experimental Design,,,,TechElective,Sheet1
MECH4000,Mechanical Eng Project III,,,,TechElective,Sheet1
MECH4040,Adv Mech Dynamic Meas Sys,,,,TechElective,Sheet1
