course_id,course_name,credits,category,prereq,notes
CRIM1010,Criminal Justice System,,GenEd_SS,,
CRIM1110,Intro to Industrial Security,,GenEd_SS,,
CRIM1150,Intro to Homeland SecurIty,,GenEd_SS,,
CRIM1410,Introduction to Policing,,GenEd_SS,,
CRIM1510,Introduction to Corrections,,GenEd_SS,,
CRIM2030,Technology and the CJ System,,GenEd_SS,,
CRIM2120,Weapons of Mass Destruction,,GenEd_SS,,
CRIM2130,Emergency Management,,GenEd_SS,,
CRIM2140,Security Management,,GenEd_SS,,
CRIM2210,Criminology,,GenEd_SS,,
CRIM2230,Crime and the Media,,GenEd_SS,,
CRIM2330,Criminal Procedure,,GenEd_SS,,
CRIM2340,Criminal Law,,GenEd_SS,,
CRIM2350,Constitutional Law & Politics,,GenEd_SS,,
CRIM2370,Intro Law & Politics/Civil Lib,,GenEd_SS,,
CRIM2410,Physical Security,,GenEd_SS,,
CRIM2430,Criminalistics I,,GenEd_SS,,
CRIM2440,Criminalistics II,,GenEd_SS,,
CRIM2480,Terrorism,,GenEd_SS,,
CRIM2510,Institutional Corrections,,GenEd_SS,,
CRIM2610,Juvenile Delinquency,,GenEd_SS,,
CRIM2800,Criminal Justice Ethics,,GenEd_SS,,
CRIM2910,Short Study Abroad: Selec.Top.,,GenEd_SS,,
CRIM3120,Security Management,,GenEd_SS,,
CRIM3230,White Collar & Elite Deviance,,GenEd_SS,,
CRIM3260,Hate Crime,,GenEd_SS,,
CRIM3270,Violence in America,,GenEd_SS,,
CRIM3400,Criminal Networks,,GenEd_SS,,
CRIM3410,Int Perspectives on Crime,,GenEd_SS,,
CRIM3420,Criminal Profiling,,GenEd_SS,,
CRIM3430,Forensic Psychology,,GenEd_SS,,
CRIM3450,Role of Women in Terr. & War,,GenEd_SS,,
CRIM3460,Crit. Infrastructure Protect.,,GenEd_SS,,
CRIM3470,Police Innovations,,GenEd_SS,,
CRIM3480,Adv.Sem. on WMD & Terrorism,,GenEd_SS,,
CRIM3490,Intelligence & Nat. Security,,GenEd_SS,,
CRIM3500,Institutional Correction,,GenEd_SS,,
CRIM3510,Community-Based Corrections,,GenEd_SS,,
CRIM3600,"Gender, Race and Crime",,GenEd_SS,,
CRIM3610,Philosophy of Law,,GenEd_SS,,
CRIM3650,Hate Crimes,,GenEd_SS,,
CRIM3700,CJ Management,,GenEd_SS,,
CRIM3730,Issues in Police Admin,,GenEd_SS,,
CRIM3800,Selected Topics in CJ,,GenEd_SS,,
CRIM3850,Crime and Mental Illness,,GenEd_SS,,
CRIM3870,Criminal Mind and Behavior,,GenEd_SS,,
CRIM3880,Forensic Psychopathology,,GenEd_SS,,
CRIM3900,CJ Research Methods,,GenEd_SS,,
CRIM3950,Statistics in Criminal Justice,,GenEd_SS,,
CRIM3970,Crime Mapping,,GenEd_SS,,
CRIM3980,CJ Data Analysis,,GenEd_SS,,
CRIM4010,Substance Abuse and Crime,,GenEd_SS,,
CRIM4180,Amer Courts & Judicial Process,,GenEd_SS,,
CRIM4220,Victimology,,GenEd_SS,,
CRIM4770,Intimate Partner Violence,,GenEd_SS,,
CRIM4780,Child Maltreatment,,GenEd_SS,,
CRIM4890,Capstone Sem.in Crim.& C.J.,,GenEd_SS,,
CRIM4900,Research Seminar: CJ,,GenEd_SS,,
CRIM4910,Directed Study - CJ,,GenEd_SS,,
CRIM4920,Short Directed Study,,GenEd_SS,,
CRIM4930,Issues in Tech & Security,,GenEd_SS,,
CRIM4950,Criminal Justice Field Studies,,GenEd_SS,,
CRIM4960,Criminal Justice Internship,,GenEd_SS,,
CRIM4970,Terrorism Internship,,GenEd_SS,,
CRIM5010,Criminological Theory: Found.,,GenEd_SS,,
CRIM5200,Administration of Justice,,GenEd_SS,,
CRIM5210,Managing Justice Organizations,,GenEd_SS,,
CRIM5220,Issues in Policing,,GenEd_SS,,
CRIM5230,Courts and Sentencing,,GenEd_SS,,
CRIM5240,Issues in Corrections,,GenEd_SS,,
CRIM5250,Juvenile Justice & Youth Crime,,GenEd_SS,,
CRIM5260,Economic Crime,,GenEd_SS,,
CRIM5400,Criminal Profiling,,GenEd_SS,,
CRIM5410,Forensic Psychology,,GenEd_SS,,
CRIM5600,"Gender, Race & Crime",,GenEd_SS,,
CRIM5660,Trans.Sys.Safety & Security,,GenEd_SS,,
CRIM5700,Crisis & Emergency Management,,GenEd_SS,,
CRIM5710,Dom.Terror.& Violent Extremism,,GenEd_SS,,
CRIM5720,Comparative Terr./Counter-Terr,,GenEd_SS,,
CRIM5730,Threat Assessment & Risk Mgmt,,GenEd_SS,,
CRIM5740,Overview of Homeland Security,,GenEd_SS,,
CRIM5750,Contemporary Security Studies,,GenEd_SS,,
CRIM5760,CJ Intelligence & Info Sharing,,GenEd_SS,,
CRIM5780,Intell.Analysis Policy & Pract,,GenEd_SS,,
CRIM5800,Criminal Justice Scholarship,,GenEd_SS,,
CRIM5830,Master's Thesis - CJ,,GenEd_SS,,
CRIM5860,Master's Thesis - CJ,,GenEd_SS,,
CRIM5880,Strat IntelligenceHomelandSec,,GenEd_SS,,
CRIM5900,Descriptive & Inferential Stat,,GenEd_SS,,
CRIM5910,Research Design,,GenEd_SS,,
CRIM5950,Prgram Evaluation,,GenEd_SS,,
CRIM6000,Professional Development,,GenEd_SS,,
CRIM6010,Criminological Theory Advanced,,GenEd_SS,,
CRIM6020,Nat. & Extent of Crime & Crim.,,GenEd_SS,,
CRIM6030,Correlates of Crime & Justice,,GenEd_SS,,
CRIM6040,Women and Crime,,GenEd_SS,,
CRIM6110,Law & Social Control,,GenEd_SS,,
CRIM6120,"Drugs, Crime and Justice",,GenEd_SS,,
CRIM6130,Law and Public Policy,,GenEd_SS,,
CRIM6220,Seminar in Policing,,GenEd_SS,,
CRIM6230,Seminar in Courts & Sentencing,,GenEd_SS,,
CRIM6240,Seminar in Corrections,,GenEd_SS,,
CRIM6250,Sem.in Juv.Just.& Yth Crime,,GenEd_SS,,
