term_id,term_label,course_id,course_name,credits,bucket,prereq,coreq,min_grade,notes
Y1F,Year 1 Fall,MATH 1225,PRECALCULUS MATHEMATICS I,3,,,,,
Y1F,Year 1 Fall,MATH 1230,PRECALCULUS MATHEMATICS II,3,,MATH 1225,,,
Y1F,Year 1 Fall,ENGL 1010,COLLEGE WRITING I,3,,,,,
Y1F,Year 1 Fall,SOCI 1010,SOCIAL SCIENCE (SS),3,GENED_SS,,,,
Y1S,Year 1 Spring,MATH 1310,CALCULUS I,4,,MATH 1230,,,
Y1S,Year 1 Spring,MATH 1320,CALCULUS II,4,,MATH 1310,,,
Y1S,Year 1 Spring,ENGL 1020,COLLEGE WRITING II,3,,ENGL 1010,,,
Y1S,Year 1 Spring,PHYS 1410,PHYSICS I AND LAB,4,,,,,
Y2F,Year 2 Fall,ETEC 2130,ELECTRIC CIRCUITS I AND LAB,3,,,,,
Y2F,Year 2 Fall,ETEC 2140,CIRCUITS II AND LAB,3,,ETEC 2130,,,
Y2F,Year 2 Fall,ETEC 2550,ELECTRONICS I AND LAB,3,,ETEC 2130,,,
Y2F,Year 2 Fall,ETEC 2560,ELECTRONICS II AND LAB,3,,ETEC 2550,,,
Y2S,Year 2 Spring,ETEC 2150,CIRCUITS III AND LAB,3,,ETEC 2140,,,
Y2S,Year 2 Spring,ETEC 2160,CIRCUITS IV,3,,ETEC 2150,,,
Y2S,Year 2 Spring,ETEC 2570,ELECTRONICS III AND LAB,3,,ETEC 2560,,,
Y2S,Year 2 Spring,ETEC 2580,ELECTRONICS IV AND LAB,3,,ETEC 2570,,,
Y3F,Year 3 Fall,ETEC 3830,MICROPROCESSORS A,3,,,,,
Y3F,Year 3 Fall,ETEC 3840,MICROPROCESSORS B,3,,ETEC 3830,,,
Y3F,Year 3 Fall,MATH 2310,CALCULUS III,4,,MATH 1320,,,
Y3F,Year 3 Fall,MATH 2340,DIFFERENTIAL EQUATIONS,3,,MATH 2310,,,
Y3S,Year 3 Spring,ETEC 3220,SIGNALS AND SYSTEMS,3,,,,,
Y3S,Year 3 Spring,MTEC 2620,ENGINEERING DATA ANALYSIS,3,,MATH 1260,,,
Y3S,Year 3 Spring,ETEC 3410,LOGIC DESIGN I AND LAB,3,,,,,
Y3S,Year 3 Spring,ETEC 3420,LOGIC DESIGN II AND LAB,3,,ETEC 3410,,,
Y3S,Year 3 Spring,PHIL 1030,INTRODUCTION TO ETHICS,3,GENED_AH,,,,
Y3F,Year 3 Fall,PSYC 1010,INTRO TO PSYCHOLOGY,3,,,,,
Y4F,Year 4 Fall,ETEC 3500,CONTROL SYSTEMS I,3,,,,,
Y4F,Year 4 Fall,ETEC 3760,ELECTROMAGNETIC THEORY,3,,,,,
Y4F,Year 4 Fall,ETEC 4100,SYSTEMS ENGINEERING AND ANALYSIS,3,,,,,
Y4F,Year 4 Fall,MTEC 4140,ENGINEERING ECONOMICS,3,,ECON 2010,,,
Y4S,Year 4 Spring,MTEC 2260,TECHNICAL COMMUNICATIONS,3,,ENGL 1010,,,
Y4S,Year 4 Spring,MTEC 4320,CAPSTONE,3,,,,,
Y4S,Year 4 Spring,GENED_AH,ARTS & HUMANITIES ELECTIVE,3,GENED_AH,,,,
Y4S,Year 4 Spring,EET_TECH_ELEC1,TECHNICAL ELECTIVE,3,TechElective,,,,
Y4S,Year 4 Spring,EET_TECH_ELEC2,TECHNICAL ELECTIVE,3,TechElective,,,,
