term_id,term_label,course_id,course_name,credits,bucket,prereq,coreq,min_grade,notes
Y1F,Year 1 Fall,MATH 1225,PRECALCULUS MATHEMATICS I,3,,,,,
Y1F,Year 1 Fall,MATH 1230,PRECALCULUS MATHEMATICS II,3,,MATH 1225,,,
Y1F,Year 1 Fall,MTEC 1020,ENGINEERING DESIGN AND GRAPHICS,3,,,,,
Y1F,Year 1 Fall,MTEC 2850,INTRODUCTION TO SOLIDWORKS,3,,MTEC 1020,,,
Y1S,Year 1 Spring,ENGL 1010,COLLEGE WRITING I,3,,,,,
Y1S,Year 1 Spring,ENGL 1020,COLLEGE WRITING II,3,,ENGL 1010,,,
Y1S,Year 1 Spring,MATH 1310,CALCULUS I,4,,MATH 1230,,,
Y1S,Year 1 Spring,MATH 1320,CALCULUS II,4,,MATH 1310,,,
Y2F,Year 2 Fall,PHYS 1410,PHYSICS I AND LAB,4,,,,,
Y2F,Year 2 Fall,PHYS 2450,PHYSICAL PROPERTIES OF MATTER AND LAB,4,,PHYS 1410,,,
Y2F,Year 2 Fall,MTEC 2210,STATICS,3,,MATH 1320|PHYS 1410,,,
Y2F,Year 2 Fall,MTEC 2220,DYNAMICS,3,,MTEC 2210|PHYS 2450,,,
Y2S,Year 2 Spring,MTEC 2230,MECHANICS OF MATERIALS,3,,MTEC 2210,,,
Y2S,Year 2 Spring,MTEC 2950,MATERIALS SCIENCE,3,,,,,
Y2S,Year 2 Spring,ETEC 2130,CIRCUITS I,3,,MATH 1225,,,
Y2S,Year 2 Spring,ETEC 2550,ELECTRONICS I,3,,ETEC 2130,,,
Y3F,Year 3 Fall,MTEC 2420,APPLIED FLUID MECHANICS,3,,MTEC 2220,,,
Y3F,Year 3 Fall,MTEC 2410,ELEMENTS OF THERMODYNAMICS,3,,MATH 1320|PHYS 1410,,,
Y3F,Year 3 Fall,MTEC 2020,THERMO/FLUIDS LABORATORY,2,,MTEC 2410|MTEC 2420,,,
Y3F,Year 3 Fall,MTEC 2040,INTRO TO COMPUTER INTEGRATED MFG,2,,,,,
Y3S,Year 3 Spring,MTEC 2060,APPLIED COMPUTER INTEGRATED MFG,3,,MTEC 2040,,,
Y3S,Year 3 Spring,MTEC 3050,MANUFACTURING PROCESSES,3,,,,,
Y3S,Year 3 Spring,MTEC 3020,MECHANICS/MATERIALS LABORATORY,2,,MTEC 2220|MTEC 2230|MTEC 2260,,,
Y3S,Year 3 Spring,MTEC 2260,TECHNICAL COMMUNICATIONS,3,,ENGL 1010,,,
Y3S,Year 3 Spring,CHEM 1110 / CHEM 1130,GENERAL CHEMISTRY I AND LAB,4,,,,,
Y4F,Year 4 Fall,MTEC 3200,MACHINE DESIGN,3,,MTEC 2220|MTEC 2230,,,
Y4F,Year 4 Fall,MTEC 3140,MANUFACTURING PRODUCTIVITY,3,,,,,
Y4F,Year 4 Fall,MTEC 2620,ENGINEERING DATA ANALYSIS,3,,MATH 1260,,,
Y4F,Year 4 Fall,MTEC 3540,PROBLEMS IN MECHANICAL ENGINEERING TECHNOLOGY,3,,MTEC 3200,,,
Y4F,Year 4 Fall,MTEC 4750,HEAT TRANSFER,3,,MTEC 2410|MTEC 2420,,,
Y4S,Year 4 Spring,SOCI 1010,SOCIAL SCIENCE (SS),3,GENED_SS,,,,
Y4S,Year 4 Spring,PSYC 1010,INTRO TO PSYCHOLOGY,3,,,,,
Y4S,Year 4 Spring,PHIL 1030,INTRODUCTION TO ETHICS,3,GENED_AH,,,,
Y4S,Year 4 Spring,ECON 2010,ECONOMICS I,3,,,,,
Y4S,Year 4 Spring,MTEC 4140,ENGINEERING ECONOMICS,3,,,,,
Y4S,Year 4 Spring,MTEC 4020,ENGINEERING MEASUREMENT LAB,2,,MTEC 2220|MTEC 2410|MTEC 2420,,,
Y4S,Year 4 Spring,MTEC 4320,CAPSTONE,3,,,,,
Y4S,Year 4 Spring,GENED_AH,ARTS & HUMANITIES ELECTIVE,3,GENED_AH,,,,
Y4S,Year 4 Spring,MET_TECH_ELEC1,TECHNICAL ELECTIVE,3,TechElective,,,,
Y4S,Year 4 Spring,MET_TECH_ELEC2,TECHNICAL ELECTIVE,3,TechElective,,,,
