term_id,term_label,course_id,course_name,credits,bucket,prereq,coreq,min_grade,notes
Y1F,Year 1 Fall,MECH 1070,INTRO ENG I,2,,,,,
Y1F,Year 1 Fall,MATH 1310,CALC I,4,,MATH 1230,,,ALEKS 76–100 or Precalc II C-
Y1F,Year 1 Fall,CHEM 1210,CHEMISTRY I,3,,,CHEM 1230L,,Co-req CHEM 1230L
Y1F,Year 1 Fall,CHEM 1230L,CHEM I LAB,1,,,CHEM 1210,,Co-req CHEM 1210
Y1F,Year 1 Fall,ENGL 1010,COL WRITING I,3,,,,,
Y1F,Year 1 Fall,GENED_AH,GEN ED (AH),3,GENED_AH,,,,
Y1S,Year 1 Spring,MATH 1320,CALC II,4,,MATH 1310,,,
Y1S,Year 1 Spring,PHYS 1410,PHYSICS I,3,,MATH 1310,PHYS 1410L|MATH 1310,C-,Pre/Co with MATH 1310; Co-req PHYS 1410L
Y1S,Year 1 Spring,PHYS 1410L,PHYSICS I LAB,1,,PHYS 1410,PHYS 1410,,Co-req PHYS 1410
Y1S,Year 1 Spring,ENGL 1020,COL WRITING II,3,,ENGL 1010,,,
Y1S,Year 1 Spring,GENED_AH,GEN ED (AH),3,GENED_AH,,,,
Y2F,Year 2 Fall,MECH 2010,CAD,2,,MECH 1070,,C-,
Y2F,Year 2 Fall,ENGN 2050,STATICS,3,,PHYS 1410,MATH 1320,C-,Co-req MATH 1320
Y2F,Year 2 Fall,MECH 2960,MATERIALS SCI.,3,,CHEM 1210|CHEM 1230L,,C-,ME/IE majors only
Y2F,Year 2 Fall,MATH 2310,CALC III,4,,MATH 1320,,,
Y2F,Year 2 Fall,PHYS 2450,PHYS OF MATTER,3,,PHYS 1410{C-},MATH 1320|PHYS 2450L,,C- required in PHYS 1410
Y2F,Year 2 Fall,PHYS 2450L,PHYS OF MAT LAB,1,,,PHYS 2450,,Co-req PHYS 2450
Y2S,Year 2 Spring,MECH 2020,MANUFCT LAB,2,,MECH 2010,,C-,
Y2S,Year 2 Spring,ENGN 2060,STRGTH MATL,3,,"ENGN 2050{C-}, MATH 1320",,C-,
Y2S,Year 2 Spring,ENGN 2070,DYNAMICS,3,,"ENGN 2050{C-}, MATH 1320",,C-,
Y2S,Year 2 Spring,MECH 2420,THERMO,3,,"MATH 1320, CHEM 1210",PHYS 2450,C-,Co/Pre with PHYS 2450
Y2S,Year 2 Spring,MATH 2340,DIFF EQS,3,,MATH 1320,,,
Y2S,Year 2 Spring,GENED_SS,GEN ED (SS),3,GENED_SS,,,,
Y3F,Year 3 Fall,MECH 3210,KINEMATICS,3,,"ENGN 2050{C-}, ENGN 2070{C-}",MECH 2010,,ENGN 2070 prior or parallel
Y3F,Year 3 Fall,MECH 3810,FLUID MECH,3,,"MATH 2310, MATH 2360, ENGN 2070{C-}",MECH 2420,C-,Co/Pre with MECH 2420
Y3F,Year 3 Fall,MECH 3610,MATH METH MEs,3,,MATH 1320,MATH 2340|MATH 2360,,Co-req MATH 2340 or 2360
Y3F,Year 3 Fall,PHYS 1440,PHYSICS II,3,,PHYS 1410{C-},PHYS 1440L|MATH 1320,C-,Pre/Co with MATH 1320 and PHYS 1440L
Y3F,Year 3 Fall,PHYS 1440L,PHYSICS II LAB,1,,PHYS 1410L{C-},PHYS 1440,C-,Co-req PHYS 1440
Y3F,Year 3 Fall,PHIL 3340,ETHICS (AH),3,,,,,
Y3F,Year 3 Fall,PHIL 2030,ETHICS (AH) ALT,3,,,,,
Y3S,Year 3 Spring,MECH 3220,CONTROL MS,3,,MECH 3210{C-},,C-,
Y3S,Year 3 Spring,MECH 3230,CONTROL AS,3,,MECH 3210{C-},,C-,
Y3S,Year 3 Spring,MECH 3820,HEAT TRANS,3,,MECH 3810{C-},,C-,
Y3S,Year 3 Spring,MECH 3110,APPL STRGTH,3,,"ENGN 2060{C-}, ENGN 2050{C-}, MECH 2960, MECH 3610, MATH 2310",,C-,C- required in ENGN 2050 and ENGN 2060
Y3S,Year 3 Spring,MECH 3020,INST & MEAS LAB,3,,ENGN 2060,,C-,
Y3S,Year 3 Spring,ECON 2010,ECONOMICS (SS),3,GENED_SS,,,,
Y3S,Year 3 Spring,ECON 2020,ECONOMICS (SS) ALT,3,GENED_SS,,,,
Y4F,Year 4 Fall,MECH 4410,THERMO-FL APPL,3,,MECH 2420{C-},MECH 3820,C-,Co-req MECH 3820
Y4F,Year 4 Fall,MECH 4030,THERMO-FL LAB,3,,MECH 3820{C-},,C-,
Y4F,Year 4 Fall,MECH 4250,DES MACH ELEM,3,,"MECH 3220|MECH 3230, MECH 2960{C-}, MECH 3110{C-}",,C-,
Y4F,Year 4 Fall,MECH 4510,DYN SYSTEMS,3,,"MATH 2360, ENGN 2070{C-}, EECE 2110|PHYS 1440",,C-,
Y4F,Year 4 Fall,MECH 4730,DES THEORY,3,,MECH 3020,,,
Y4F,Year 4 Fall,ME_TECH_ELEC,ME TECH ELEC,3,TechElective,,,,
Y4S,Year 4 Spring,MECH 4230,CAPSTONE,3,,"MECH 4410, MECH 4250, MECH 4730, Senior_Status",,,Permission required
Y4S,Year 4 Spring,MECH 4420,TF SYS DESIGN,3,,MECH 4410{C-}|MECH 4250{C-}|MECH 4730{C-},,C-,ME majors only
Y4S,Year 4 Spring,ME_TECH_ELEC1,ME TECH ELEC,3,TechElective,,,,
Y4S,Year 4 Spring,ME_TECH_ELEC2,ME TECH ELEC,3,TechElective,,,,
Y4S,Year 4 Spring,GENED_SS,GEN ED (SS),3,GENED_SS,,,,
