slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ENGN 2180,Introduction to Aerospace,1,,,,,,,,
required,ENGN 2180L,Introduction to Aerospace Lab,1,,,,,,,,
required,MATH 2340,Differential Equations,3,,,,,,,,
pool,,Modern Control Systems or Dynamic Systems and Controls,3,pool_controls,Choose one: MECH 5315 or MECH 5540,1 course,,,,
pool,MECH 5315,Modern Control Systems,3,pool_controls,Choose one: MECH 5315 or MECH 5540,1 course,,,,
pool,MECH 5540,Dynamic Systems and Controls,3,pool_controls,Choose one: MECH 5315 or MECH 5540,1 course,,,,
required,PHYS 1410,Physics I,3,,,,,,,,
pool,PHYS 4170,Space Science Mission Design,4,pool_capstone,Choose one: PHYS 4170 or MECH 4991,1 course,,,,
pool,MECH 4991,Directed Studies in Mechanical Engineering,4,pool_capstone,Choose one: PHYS 4170 or MECH 4991,1 course,,,,
pool,ATMO 4840,Space Weather,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,EECE 4310,RF Design,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,EECE 5710,Radar Systems,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,ENGN 2060,Strengths of Materials,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 4230,Capstone Design (Aerospace-related),3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 4830,Aerodynamics and Flight Mechanics,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5120,Applied Finite Element Analysis,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5140,Finite Element Analysis of Composites,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5300,Autonomous Robotic Systems,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5340,Green Combustion & Biofuels,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5450,Advanced Industrial Heat and Mass Transfer,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5580,Aero/Wind Engineering,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5620,Solid Mechanics I,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5760,Engineering Project Management,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5810,Advanced Fluid Mechanics,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5830,Advanced Aerodynamics,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5960,Mechanics of Composite Materials,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5970,Processing of Composite Materials,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 5980,Experimental Characterization of Composite Materials,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,MECH 6140,Nonlinear Finite Element Method,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,PHYS 3370,Geometric Optics,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,PHYS 3380,Optics and Waves,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,PHYS 4400,Image Processing,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
pool,PLAS 5730,Business Law for Engineers,3,pool_electives,Choose 3 of the following elective courses,3 courses,,,,
