slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,HSCI 2110,Clinical Microbiology and Microbial Pathogenesis,3,pool_micro,Choose one: HSCI 2110/2130 or MLSC 2410/2430,1 course,,,,
pool,HSCI 2130,Clinical Microbiology and Microbial Pathogenesis Lab,1,pool_micro,Choose one: HSCI 2110/2130 or MLSC 2410/2430,1 course,,,,
pool,MLSC 2410,Clinical Laboratory Theory,3,pool_micro,Choose one: HSCI 2110/2130 or MLSC 2410/2430,1 course,,,,
pool,MLSC 2430,Clinical Laboratory Theory Lab,1,pool_micro,Choose one: HSCI 2110/2130 or MLSC 2410/2430,1 course,,,,
required,BMSC 3630,Analytical Instrumentation Laboratory,3,,,,,,,,
required,MLSC 3810,Molecular Diagnostics Laboratory,3,,,,,,,,
pool,BMSC 3220,Biomedical Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,BMSC 3310,Biomedical Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,MLSC 3110,Medical Laboratory Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,MLSC 3130,Medical Laboratory Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,MLSC 3210,Medical Laboratory Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,MLSC 3230,Medical Laboratory Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,MLSC 3510,Medical Laboratory Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,MLSC 3530,Medical Laboratory Sciences elective (3000-level),3,pool_3000,Choose at least one 3000-level course,1 course,,,,
pool,BMSC 4120,Biomedical Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,BMSC 4350,Biomedical Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,BMSC 4900,Biomedical Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 4110,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 4130,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 4310,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 4330,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 4520,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 4540,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 5500,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 5600,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 6000,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 6100,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
pool,MLSC 6101,Medical Laboratory Sciences elective (4000+ level),3,pool_4000,Choose at least one 4000-level or above course,1 course,,,,
