slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ARTS 1010,Art Concepts I,3,,,,,,,,
required,ARTS 1550,Drawing I,3,,,,,,,,
pool,ARTS 1020,Art Concepts II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,Minimum 2 courses at 3000-level or above across entire minor
pool,ARTS 1130,Digital Foundations,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 1560,Drawing II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2010,Form and Content,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2320,Ceramics,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2350,Sculpture I,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2420,The Language of Video,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2560,Drawing III,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2570,Monotypes,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2590,Papermaking,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2610,Photography I,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2660,Alternative Photo Processes,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2670,Printmaking,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2690,Color,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2700,Figure Drawing,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2710,Painting I,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2720,2D Animation I,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2730,Water Media,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2760,Intro 3D Modeling & Animation,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2810,Introduction to Game Design,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2900,Illustration,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2950,Studio Workshop Abroad,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 2960,Character and Layout Design,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3320,Ceramics II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3350,Sculpture II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3610,Photography II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3670,Printmaking II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3710,Painting II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3730,Professional Studio Photography,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3780,Interactive Media II,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 3820,Art & Design of Data Visualization,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 4350,Sculpture III,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 4710,Painting III,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 4910,Advanced Studio,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 4940,Directed Studies,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,ARTS 4950,Advanced Tutorial,3,pool_studio,Choose 9 credits of Studio Art electives,9 credits,,,,
pool,,Aesthetics & Critical Studies / Art History elective,3,pool_arhi,Choose 3 credits from Aesthetics & Critical Studies / Art History,3 credits,,,,Courses with AEST or ARHI prefixes
