slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ENVI 2020,Earth Systems: Atmosphere and Oceans,3,,,,,,,,
required,ENVI 2040L,Earth Systems: Atmosphere and Oceans Lab,1,,,,,,,,
pool,ENVI 1100,Global Environmental Studies,3,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ENVI 1120L,Global Environmental Studies Lab,1,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ENVI 1200,Principles of Environmental Science,3,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ENVI 2010,Earth Systems: Geosphere,3,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ENVI 2030L,Earth Systems: Geosphere Lab,1,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ENVI 2050,Earth Systems: Biosphere and Global Change,3,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ENVI 2070L,Earth Systems: Biosphere and Global Change Lab,1,pool_earth,Choose one Earth Systems course,1 course,,,,
pool,ATMO 2500,Environmental Data Analysis using Python,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,
pool,ATMO 1500,The Physical Science of Climate Change,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,
pool,ATMO 1520L,The Physical Science of Climate Change Lab,1,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,
pool,,Any ATMO course at 3000-level,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,ATMO 3xxx
pool,,Any ATMO course at 4000-level,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,ATMO 4xxx
pool,,Any ATMO course at 5000-level,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,ATMO 5xxx
pool,ENVI 3250,Communication in the Earth Sciences,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,
pool,ENVI 4160,Climate Change Science Communication and Solutions,3,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,
pool,ENVI 4170L,Climate Change Science Communication and Solutions Lab,1,pool_electives,Choose 4 courses (at least 2 at 3000-level or above),4 courses,,,,
