slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,BIOL.1110,Principles of Biology I,3,pool_1,Biology Requirement,1 course,,,,
pool,BIOL.1170L,Principles of Biology I Lab,1,pool_1,Biology Requirement,1 course,,,,
pool,BIOL.1220,Biology for Scientists,3,pool_1,Biology Requirement,1 course,,,,
pool,BIOL.1240L,Biology for Scientists Lab,1,pool_1,Biology Requirement,1 course,,,,
pool,BIOL.2100,Biology for Engineers,3,pool_1,Biology Requirement,1 course,,,,
pool,BIOL.2120L,Biology for Engineers Lab,1,pool_1,Biology Requirement,1 course,,,,
pool,BIOL.4620,Cardiovascular Physiology,3,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,BIOL.4630L,Cardiovascular Physiology Lab,1,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,BIOL.5620,Cardiovascular Physiology,3,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,BIOL.5630L,Cardiovascular Physiology Lab,1,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,HSCI.1020,Human Anatomy and Physiology II,3,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,HSCI.1040,Human Anatomy and Physiology II Lab,1,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,LIFE.1020,Life Science II,3,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,LIFE.1040L,Life Science II Lab,1,pool_2,Physiology & Anatomy Requirement,1 course,,,,
pool,CIVE.2860,Probability and Statistics for Engineers,3,pool_3,Statistics Requirement,1 course,,,,
pool,MATH.2830,Introduction to Statistics,3,pool_3,Statistics Requirement,1 course,,,,
pool,MATH.3850,Applied Statistics,3,pool_3,Statistics Requirement,1 course,,,,
pool,MATH.3860,Probability and Statistics I,3,pool_3,Statistics Requirement,1 course,,,,
pool,MECH.3610,Math Methods for Mechanical Engineers,3,pool_3,Statistics Requirement,1 course,,,,
pool,PLAS.3060,Methods of Experimental Analysis,3,pool_3,Statistics Requirement,1 course,,,,
required,BMBT.5000,Introduction to Biomedical Engineering & Biotechnology,3,,,,,,,,
pool,EECE.4410,Introduction to Biosensors,3,pool_4,Specialization Electives,2 courses,,,,
pool,PLAS.5540,Medical Device Design II,3,pool_4,Specialization Electives,2 courses,,,,
pool,BIOL.4190,Biochemistry,3,pool_4,Specialization Electives,2 courses,,,,
pool,BIOL.4200,Biochemistry II,3,pool_4,Specialization Electives,2 courses,,,,
pool,CHEM.5700,Protein Chemistry,3,pool_4,Specialization Electives,2 courses,,,,
pool,HSCI.3500,Human Biochemistry,3,pool_4,Specialization Electives,2 courses,,,,
pool,CHEN.5060,Colloidal Interfacial and Nanomaterials Science and Engineering,3,pool_4,Specialization Electives,2 courses,,,,
pool,CHEN.5460,Biomaterials Science and Engineering,3,pool_4,Specialization Electives,2 courses,,,,
pool,CHEN.5330,Macromolecular Colloidal Science and Engineering,3,pool_4,Specialization Electives,2 courses,,,,
pool,CHEM.6720,Surface and Colloid Chemistry,3,pool_4,Specialization Electives,2 courses,,,,
pool,PLAS.5420,Colloidal Nanoscience and Nanoscale Engineering,3,pool_4,Specialization Electives,2 courses,,,,
pool,PLAS.5750,Biomaterials I,3,pool_4,Specialization Electives,2 courses,,,,
pool,PLAS.5790,Problems in Biomaterials/Directed Studies,3,pool_4,Specialization Electives,2 courses,,,,
pool,PLAS.6750,Biomaterials II,3,pool_4,Specialization Electives,2 courses,,,,
pool,POLY.5030,Polymer Science I,3,pool_4,Specialization Electives,2 courses,,,,
pool,POLY.5040,Polymer Science II,3,pool_4,Specialization Electives,2 courses,,,,
pool,BMEN.5300,Ergonomics and Work,3,pool_4,Specialization Electives,2 courses,,,,
pool,BMEN.5310,Occupational Biomechanics,3,pool_4,Specialization Electives,2 courses,,,,
pool,BMEN.5320,Occupational Biomechanics Laboratory,1,pool_4,Specialization Electives,2 courses,,,,
pool,BMEN.6320,Advanced Biomechanics,3,pool_4,Specialization Electives,2 courses,,,,
pool,BMEN.6380,Methods of Work Analysis,3,pool_4,Specialization Electives,2 courses,,,,
pool,PHYS.4010,Radiation Safety and Control I,3,pool_4,Specialization Electives,2 courses,,,,
pool,PHYS.4620,Radiation Biology,3,pool_4,Specialization Electives,2 courses,,,,
pool,RADI.5650,Introduction to Radiation Therapy Physics,3,pool_4,Specialization Electives,2 courses,,,,
pool,RADI.6060,Monte Carlo Simulation of Radiation Transport,3,pool_4,Specialization Electives,2 courses,,,,
pool,CHEN.5340,Industrial Bioprocessing,3,pool_4,Specialization Electives,2 courses,,,,
