slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ECON.2010,Principles of Microeconomics,3,,,,,,,,
required,ACCT.2010,Accounting/Financial,3,,,,,,,,
required,FINA.3010,Financial Management,3,,,,,,,,
required,MKTG.2010,Marketing Principles,3,,,,,,,,
required,MGMT.3010,Organizational Behavior,3,,,,,,,,
pool,POMS.2010,Introduction to Business Analytics,3,pool_1,Electives,6 credits,,,,
pool,POMS.3010,Operations Management,3,pool_1,Electives,6 credits,,,,
pool,PLAS.5370,Business Law for Engineers,3,pool_1,Electives,6 credits,,,,
pool,PLAS.5900,Survey of Intellectual Property,3,pool_1,Electives,6 credits,,,,
pool,MECH.5710,Quality Engineering,3,pool_1,Electives,6 credits,,,,
pool,MECH.5740,Design for Reliability Engineering,3,pool_1,Electives,6 credits,,,,
pool,MECH.5750,Industrial Design of Experiments,3,pool_1,Electives,6 credits,,,,
pool,MECH.5760,Engineering Project Management,3,pool_1,Electives,6 credits,,,,
