slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,POLI.1750,Introduction to Environmental Politics,3,pool_1,Environmental Politics,1 course,,,,
pool,POLI.2001,Comparative Environmental Politics,3,pool_1,Environmental Politics,1 course,,,,
pool,ATMO.1410,Weather and Climate,3,pool_2,Climate/Atmosphere,1 course,,,,
pool,ATMO.1500,The Physical Science of Climate Change,3,pool_2,Climate/Atmosphere,1 course,,,,
pool,ENVI.2020,Earth Systems: Atmosphere and Oceans,3,pool_2,Climate/Atmosphere,1 course,,,,
pool,ENVI.1100,Global Environmental Studies,3,pool_3,Environmental Science,1 course,,,,
pool,ENVI.1110,Sustainable Solutions for People and the Planet,3,pool_3,Environmental Science,1 course,,,,
pool,ENVI.1200,Principles of Environmental Science,3,pool_3,Environmental Science,1 course,,,,
pool,ENVI.2010,Earth Systems: Geosphere,3,pool_3,Environmental Science,1 course,,,,
pool,GEOL.1010,General Geology,3,pool_3,Environmental Science,1 course,,,,
required,ENVI.4160,Climate Change Science Communication and Solutions,3,,,,,,,,
required,ENVI.4170,Climate Change Science Communication and Solutions Lab,1,,,,,,,,
pool,ARHI.3150,Modern Architecture,3,pool_4,Electives,2 courses,,,,
pool,ARHI.3550,City and the Environment,3,pool_4,Electives,2 courses,,,,
pool,ARHI.3650,Art and Environment,3,pool_4,Electives,2 courses,,,,
pool,ECON.3060,Urban Economics,3,pool_4,Electives,2 courses,,,,
pool,ECON.3190,Public Finance,3,pool_4,Electives,2 courses,,,,
pool,ECON.4010,Behavioral and Experimental Economics,3,pool_4,Electives,2 courses,,,,
pool,ECON.4130,Climate Change Economics,3,pool_4,Electives,2 courses,,,,
pool,ECON.4150,Introduction to Environmental Economics,3,pool_4,Electives,2 courses,,,,
pool,ENGL.3240,Writing about Place,3,pool_4,Electives,2 courses,,,,
pool,ENGL.3245,Writing about the Environment,3,pool_4,Electives,2 courses,,,,
pool,FAHS.2200,Designing the Future World,3,pool_4,Electives,2 courses,,,,
pool,HIST.2740,Native American History,3,pool_4,Electives,2 courses,,,,
pool,HIST.3010,The World of Things: Consumer Culture in the Modern West,3,pool_4,Electives,2 courses,,,,
pool,HIST.3151,Food in American History,3,pool_4,Electives,2 courses,,,,
pool,HIST.3160,American Environmental History,3,pool_4,Electives,2 courses,,,,
pool,HIST.3932,Environmental History of the Middle East and North Africa,3,pool_4,Electives,2 courses,,,,
pool,LGST.3670,Environmental Law,3,pool_4,Electives,2 courses,,,,
pool,PHIL.3270,Environmental Philosophy,3,pool_4,Electives,2 courses,,,,
pool,PLAS.1080,Introduction to Polymer Sustainability,3,pool_4,Electives,2 courses,,,,
pool,POLI.3001,Environmental Security,3,pool_4,Electives,2 courses,,,,
pool,POLI.3002,Climate Change Communication,3,pool_4,Electives,2 courses,,,,
pool,POLI.3320,The Politics of Food,3,pool_4,Electives,2 courses,,,,
pool,POLI.3570,Thoreau in Our Time,3,pool_4,Electives,2 courses,,,,
pool,POLI.3580,Global Environmental Policy,3,pool_4,Electives,2 courses,,,,
pool,POLI.3630,Politics of China,3,pool_4,Electives,2 courses,,,,
pool,POLI.4001,Environment Racism and Justice,3,pool_4,Electives,2 courses,,,,
pool,PSYC.3370,Community and Social Change,3,pool_4,Electives,2 courses,,,,
pool,PSYC.3680,Psychology of Decision Making,3,pool_4,Electives,2 courses,,,,
pool,PUBH.2080,Principles of Environmental Health Sciences,3,pool_4,Electives,2 courses,,,,
pool,PUBH.2110,Sustainable Development,3,pool_4,Electives,2 courses,,,,
pool,SOCI.2110,Sociology of Food,3,pool_4,Electives,2 courses,,,,
pool,SOCI.2360,Climate Crisis and Society,3,pool_4,Electives,2 courses,,,,
pool,SOCI.3110,Sociological Perspectives on Communication and Social Change,3,pool_4,Electives,2 courses,,,,
pool,SOCI.3300,Fast Food Hot Planet,3,pool_4,Electives,2 courses,,,,
