slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,ENGL.2380,Introduction to Creative Writing,3,pool_1,Intro to Creative Writing,1 course,,,,Prerequisite for 3000-4000 level CW courses
pool,ENGL.2381,Introduction to Creative Writing,3,pool_1,Intro to Creative Writing,1 course,,,,Alternative section; prerequisite for 3000-4000 level CW courses
pool,ENGL.3020,Creative Writing: Fiction,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,ENGL.3030,Creative Writing: Poetry,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,ENGL.3040,Creative Writing: Playwriting,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,ENGL.3220,Creative Writing: Nonfiction,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,ENGL.3660,Creative Writing: Poetry II,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,ENGL.4070,Creative Writing: Fiction II,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,ENGL.4180,Creative Writing: Nonfiction II,3,pool_2,Creative Writing Electives,3 courses,ENGL.2380 or ENGL.2381,,,
pool,,English Elective (Literature/Theatre/Journalism/Professional Writing),3,pool_3,General English Electives,2 courses,,,,Any two English courses outside the Creative Writing concentration
