slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,CRIM.1010,The Criminal Justice System,3,,,,,,,,
required,CRIM.1410,Introduction to Policing,3,,,,,,,,
required,CRIM.1510,Introduction to Corrections,3,,,,,,,,
required,CRIM.2210,Criminology,3,,,,,,,,
pool,CRIM.3230,White Collar and Elite Deviance,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3260,Hate Crime,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3270,Violence in America,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3420,Criminal Profiling,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3430,Forensic Psychology,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3600,Gender Race and Crime,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3850,Crime and Mental Illness,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3870,Criminal Mind and Behavior,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.3880,Criminal Psychopathology,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.4010,Substance Abuse and Crime,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.4220,Victimology,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.4770,Intimate Partner Violence,3,pool_1,Upper-Level Electives,2 courses,,,,
pool,CRIM.4780,Child Maltreatment,3,pool_1,Upper-Level Electives,2 courses,,,,
