slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ECON.2010,Principles of Microeconomics,3,,,,,,,,
required,ECON.2020,Principles of Macroeconomics,3,,,,,,,,
pool,ECON.3030,Microeconomic Theory,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3040,Macroeconomic Theory,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3250,United States Economic History,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4010,Special Topics in Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4160,Experimental and Behavioral Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3020,Labor Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3150,Introduction to Environmental Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3190,Public Finance,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3450,Health Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3120,Managerial Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3160,Investments Instruments and Strategies,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3170,Capital Markets,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3180,Financial Markets and Monetary Policy,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4020,Industrial Organization,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3100,Development Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4030,International Trade Theory,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4060,International Macroeconomics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4100,Economic Growth and Development,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.2110,Statistics for Business and Economics I,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.2120,Statistics for Business and Economics II,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.3110,Mathematical Economics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
pool,ECON.4070,Econometrics,3,pool_1,General Economics,4 courses total (at least 2 at 3000+),,,,,
