slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,EDUC.1100,Introduction to Teaching in Inclusive Classrooms,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.1600,Technology and Digital Literacy in the Classroom,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.2030,Multicultural Children's Literature in Classroom,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.3710,Education Psychology,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.3840,Language Literacy and Culture,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.3910,Understanding Education,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.4010,Exploring Teaching,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.4050,Children with Disabilities in the Classroom,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.5101,Foundations of Social Justice Education,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.5102,Critical Literacies,3,pool_1,School of Education Courses,3 courses,,,,,
pool,EDUC.6300,Educating Diverse Populations,3,pool_1,School of Education Courses,3 courses,,,,,
pool,ECON.2060,Economic Inequality,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,ENGL.2980,Children's Literature,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,LGST.2500,Disability and the Law: Legal Rights of People with Disabilities,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,PHIL.3105,Philosophy of Disability,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,PSYCH.2600,Child & Adolescent Development,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,PSYCH.2730,Brain Mind & Behavior,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,PSYC.2760,Theories of Learning,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,PSYC.4742,Seminar in Developmental Psychology: Psychology of Education,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,PSYC.4743,Seminar in Developmental Psychology: Trauma in Child Development,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,SOCI.2110,Sociology of Education,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,SOCI.2250,Sociology of Disability,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,SOCI.3740,Race and Families,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
pool,SOCI.5150,Social Policy and Inequalities,3,pool_2,Interdisciplinary Electives,3 courses,,,,,
