slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,CHEN.3110,Chemical Engineering Thermodynamics,3,pool_1,Thermal Energy,1 course,,,,,
pool,MECH.2420,Thermodynamics,3,pool_1,Thermal Energy,1 course,,,,,
pool,PLAS.2470,Thermodynamics,3,pool_1,Thermal Energy,1 course,,,,,
pool,CHEN.2050,Fundamentals of Electricity,3,pool_2,Electrical Energy,1 course,,,,,
pool,EECE.2010,Circuit Theory I,3,pool_2,Electrical Energy,1 course,,,,,
pool,EECE.2110,Fundamentals of Electricity I,3,pool_2,Electrical Energy,1 course,,,,,
pool,EECE.4260,Power Systems Stability and Control,3,pool_2,Electrical Energy,1 course,,,,,
pool,EECE.4440,Power Distribution Systems,3,pool_2,Electrical Energy,1 course,,,,,
pool,PHYS.1440,Physics II,3,pool_2,Electrical Energy,1 course,,,,,
pool,CHEN.4090,Engineering Economics and Process Analysis,3,pool_3,Engineering Economics,1 course,,,,,
pool,CIVE.4700,Engineering Economics,3,pool_3,Engineering Economics,1 course,,,,,
pool,ECON.2020,Macroeconomics,3,pool_3,Engineering Economics,1 course,,,,,
pool,MTEC.4140,Engineering Economics,3,pool_3,Engineering Economics,1 course,,,,,
pool,PHYS.3160,Science and Technology in an Impoverished World,3,pool_4,Energy Policy Environment Society,1 course,,,,,
pool,POLI.1750,Introduction to Environmental Politics,3,pool_4,Energy Policy Environment Society,1 course,,,,,
pool,POLI.4390,Justice and Trade in the Global Economy,3,pool_4,Energy Policy Environment Society,1 course,,,,,
pool,MECH.4260,Green Energy Engineering,3,pool_5,Energy Conversion,1 course,,,,,
pool,MECH.4420,Design of Thermo-Fluid Systems,3,pool_5,Energy Conversion,1 course,,,,,
pool,EECE.4280,Alternative Energy Sources,3,pool_5,Energy Conversion,1 course,,,,,
pool,,Upper-division elective (track-based),3,pool_6,Energy Electives (upper-division),6 credits,,,,,Choose from Energy Conversion Systems / Electric Power / Nuclear / Solar / Wind tracks
