slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,ENVI.2010,Earth Systems: Geosphere,3,pool_1,Foundation Course 1,1 course,,ENVI.2030L,,,
pool,ENVI.2030L,Earth Systems: Geosphere Lab,1,pool_1,Foundation Course 1,1 course,,,,,
pool,GEOL.1010,General Geology,3,pool_1,Foundation Course 1,1 course,,GEOL.1030L,,,
pool,GEOL.1030L,General Geology Lab,1,pool_1,Foundation Course 1,1 course,,,,,
pool,GEOL.3250,Geology for Engineers,3,pool_1,Foundation Course 1,1 course,,,,,
pool,ENVI.2020,Earth Systems: Atmosphere and Oceans,3,pool_2,Foundation Course 2,1 course,,ENVI.2040L,,,
pool,ENVI.2040L,Earth Systems: Atmosphere and Oceans Lab,1,pool_2,Foundation Course 2,1 course,,,,,
pool,ENVI.2050,Earth Systems: Biosphere and Global Change,3,pool_2,Foundation Course 2,1 course,,ENVI.2070L,,,
pool,ENVI.2070L,Earth Systems: Biosphere and Global Change Lab,1,pool_2,Foundation Course 2,1 course,,,,,
pool,ENVI.3010,GIS in Earth & Environmental Sciences,3,pool_3,Geology Electives,4 courses,,,,,
pool,ENVI.4150,Biogeochemical Cycles,3,pool_3,Geology Electives,4 courses,,,,,
pool,ENVI.4100,Soil Science,3,pool_3,Geology Electives,4 courses,,ENVI.4120L,,,
pool,ENVI.4120L,Soil Science Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.2150,Forensic Geology,3,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3040,Igneous & Metamorphic Petrology,3,pool_3,Geology Electives,4 courses,,GEOL.3060L,,,
pool,GEOL.3060L,Igneous & Metamorphic Petrology Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3070,Earth Materials I,3,pool_3,Geology Electives,4 courses,,GEOL.3090L,,,
pool,GEOL.3090L,Earth Materials I Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3080,Earth Materials II,3,pool_3,Geology Electives,4 courses,,GEOL.3100L,,,
pool,GEOL.3100L,Earth Materials II Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3140,Hydrogeology,3,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3150,Environmental Geochemistry,3,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3190,Earth Surface Processes,3,pool_3,Geology Electives,4 courses,,GEOL.3210,,,
pool,GEOL.3210,Earth Surface Processes Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3220,Structural Geology,3,pool_3,Geology Electives,4 courses,,GEOL.3240L,,,
pool,GEOL.3240L,Structural Geology Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3310,Earth History,3,pool_3,Geology Electives,4 courses,,GEOL.3330L,,,
pool,GEOL.3330L,Earth History Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.3520,Sedimentation & Stratigraphy,3,pool_3,Geology Electives,4 courses,,GEOL.3540L,,,
pool,GEOL.3540L,Sedimentation & Stratigraphy Lab,1,pool_3,Geology Electives,4 courses,,,,,
pool,GEOL.4560,Applied Geophysics,3,pool_3,Geology Electives,4 courses,,,,,
pool,,Geology Elective (5000-level),3,pool_3,Geology Electives,4 courses,,,,Instructor permission required,
