slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ENGL.2390,Introduction to Professional Writing,3,,,,,,,
pool,ENGL.3000,Introduction to Journalism,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3050,Reviewing the Arts,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3060,Intermediate Professional Writing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3200,Personal and Reflective Writing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3210,Community Writing I,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3220,Creative Writing: Creative Non-fiction I,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3230,Writing About People,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3240,Writing About Place,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3280,Writing About Women,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3680,Feature Writing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3690,Reading and Writing New Media,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3860,Editing: Grammar and Style,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3870,Introduction to Editing & Publishing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3910,Writing on the Job,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.3920,Visual Rhetoric,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.4020,Topics in Writing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.4060,Community Writing II,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.4080,Principles of Technical Writing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.4370,Newspaper Editing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.4900,Directed Studies in Writing,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,ENGL.4960,Internship I,3,pool_1,Journalism & Professional Writing Electives,3 courses,,,,
pool,,Any ENGL course (excluding ENGL.1010 and ENGL.1020),3,pool_2,Other English Electives,2 courses,,,,Excludes ENGL.1010 and ENGL.1020
pool,,Any ENGL course (excluding ENGL.1010 and ENGL.1020),3,pool_2,Other English Electives,2 courses,,,,Excludes ENGL.1010 and ENGL.1020
