slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,WLFR.1010,French 1 and Culture,3,pool_1,Language Requirement (choose 1 language),6 credits,,,,,Choose 2 courses of the same language (French OR Portuguese OR Spanish)
pool,WLFR.1020,French 2 and Culture,3,pool_1,Language Requirement (choose 1 language),6 credits,,,,,Choose 2 courses of the same language (French OR Portuguese OR Spanish)
pool,WLPO.1130,Portuguese 1 and Culture,3,pool_1,Language Requirement (choose 1 language),6 credits,,,,,Choose 2 courses of the same language (French OR Portuguese OR Spanish)
pool,WLPO.1140,Portuguese 2 and Culture,3,pool_1,Language Requirement (choose 1 language),6 credits,,,,,Choose 2 courses of the same language (French OR Portuguese OR Spanish)
pool,WLSP.1010,Spanish 1 and Culture,3,pool_1,Language Requirement (choose 1 language),6 credits,,,,,Choose 2 courses of the same language (French OR Portuguese OR Spanish)
pool,WLSP.1020,Spanish 2 and Culture,3,pool_1,Language Requirement (choose 1 language),6 credits,,,,,Choose 2 courses of the same language (French OR Portuguese OR Spanish)
pool,WLSP.3150,Latin American Civilization and Culture,3,pool_2,Foundation Course,1 course,,,,,Choose 1 course introducing modern Latin America
pool,HIST.2120,Modern Latin America,3,pool_2,Foundation Course,1 course,,,,,Choose 1 course introducing modern Latin America
pool,POLI.3700,Latin American Politics,3,pool_2,Foundation Course,1 course,,,,,Choose 1 course introducing modern Latin America
pool,PHIL.3880,Latin American Philosophy,3,pool_2,Foundation Course,1 course,,,,,Choose 1 course introducing modern Latin America
pool,ENGL.2772,Introduction to Latinx Literature,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,HIST.2090,Colonial Latin America,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,HIST.2120,Modern Latin America,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,HIST.3489,Reform and Revolution in Latin America,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,HIST.3490,Cuban Revolution,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,HIST.3901,Topics in History of the Portuguese World,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,POLI.3700,Latin American Politics,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,POLI.3710,Caribbean Politics,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,POLI.3720,Crime Security and Democracy in Latin America,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,PHIL.3880,Latin American Philosophy,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,SOCI.3520,Latinos/as in the United States,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLFR.3815,Francophone Caribbean Studies through Literature and Film,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.3011,Special Topics in Lusophone Studies,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.3030,Survey of Brazilian Cinema,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.3040,Survey of Brazilian Portuguese and Lusophone African Cinema,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.3050,Culture and Civilization of Brazil,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.3090,Luso-Brazilian Women Writers in Translation,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.3375,Brazilian Literature in Translation,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.4800,Directed Studies in Lusophone Literatures,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.4830,Independent Studies in Portuguese,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLPO.4840,Portuguese Practicum Experience,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.3020,Survey of Latin American Literature,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.3030,Modern and Contemporary Latin American Literature,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.3150,Latin American Civilization and Culture,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.3510,Latin American Theater,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.3750,Latin American and Spanish Cinema,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.4120,Short Story in Latin America,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.4160,The Latin American Novel,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.4500,Nineteenth and Twentieth Century Latin American Essays,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.4910,Directed Studies in Spanish Literature,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.4920,Directed Studies in Latin American Literature,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
pool,WLSP.4960,Spanish Practicum Experience,3,pool_3,Latin American Studies Electives,9 credits,,,,,At least 6 credits in non-language courses at 3000-level or above. Courses cannot overlap with major or another minor.
