slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ENGY.4310,Fundamentals of Nuclear Science and Engineering,3,,,,,,,
required,ENGY.4340,Nuclear Reactor Theory and Analysis,3,,,,,,,
required,ENGY.4350,Nuclear Reactor Engineering,3,,,,,,,
pool,ENGY.5100,Nuclear Fuel Cycles,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,ENGY.5340,Fundamentals of Nuclear Security and Safeguards,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,ENGY.5360,Reactor Experiments,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,ENGY.5390,Nuclear Systems Design and Analysis,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.5010L,Radiation Safety and Control I,1,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.5060,Nuclear Instrumentation,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.5240,Environmental Health Physics,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.5340,Internal Radiation Dosimetry and Bioassay Assessment,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.5330,External Radiation Dosimetry and Shielding,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.5620,Radiation Biology,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,RADI.6050,Radiation Interactions and Transport,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,CHEN.3030,Fluid Mechanics,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,CHEN.3040,Heat Transfer,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,CHEN.3080,Materials Science and Engineering,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,CHEN.3110,Thermodynamics,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,EECE.5130,Control Systems,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,EECE.5140,Integrated Power Systems,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,EECE.5150,Power Electronics,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,MECH.2420,Thermodynamics,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,MECH.2960,Materials Science for Engineers,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,MECH.3020,Instrumentation and Measurement Lab,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,MECH.3220,Control of Mechanical Systems,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
pool,MECH.4030,Thermo-Fluid Applications,3,pool_1,Nuclear Science and Engineering Electives,3 courses,,,,
