slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,ECON.2110,Statistics I,3,,,,,,,Or equivalent statistics course
required,POMS.2010,Introduction to Business Analytics,3,,,,,,,
required,MIST.2010,Business Information Systems,3,,,,,,,
pool,MIST.3030,Database Management Systems,3,pool_1,MIST Electives,2 courses,,,,
pool,MIST.3050,Business Applications Development,3,pool_1,MIST Electives,2 courses,,,,
pool,MIST.3040,Data Communications and Networks,3,pool_1,MIST Electives,2 courses,,,,
pool,MIST.4020,Systems Analysis and Design,3,pool_1,MIST Electives,2 courses,,,,
pool,POMS.3010,Operations Management,3,pool_2,POMS Electives,2 courses,,,,
pool,POMS.4010,Logistics and Transportation,3,pool_2,POMS Electives,2 courses,,,,
pool,POMS.4020,Global Supply Chain Management,3,pool_2,POMS Electives,2 courses,,,,
pool,POMS.4030,Service Management,3,pool_2,POMS Electives,2 courses,,,,
pool,POMS.4040,Managerial Quality Control,3,pool_2,POMS Electives,2 courses,,,,
