slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,PUBH.1021,Introduction to Public Health,3,,,,,,,
required,PHIT.2031,Introduction to Public Health Informatics,3,,,,,,,
required,PHIT.2030,Health Information Technology,3,,,,,,,
pool,PHIT.3030,Public Health Emergency Preparedness,3,pool_1,PHIT 3000-Level Required,1 course,,,,Or PHIT.3031
pool,PHIT.3031,Seminar on Applications of Big Data to Addictions Research,3,pool_1,PHIT 3000-Level Required,1 course,,,,Or PHIT.3030
pool,CRIM.3970,Crime Mapping,3,pool_2,Electives (FAHSS),6 credits,,,,Choose at least 6 credits total from any elective pool
pool,CRIM.3980,Criminal Justice Data Analysis,3,pool_2,Electives (FAHSS),6 credits,,,,
pool,CRIM.4010,Substance Abuse and Crime,3,pool_2,Electives (FAHSS),6 credits,,,,
pool,PHIL.3106,Public Health Ethics,3,pool_2,Electives (FAHSS),6 credits,,,,
pool,ATMO.2500,Atmospheric Science course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,CHEM.1030,Chemistry course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,COMP.1080,Computing course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,ENVI.3010,Environmental Science course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,INFO.2030,Information course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,INFO.2310,Information course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,INFO.2480,Information course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,INFO.3850,Information course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,MATH.3630,Mathematics course,3,pool_3,Electives (Sciences),6 credits,,,,
pool,MKTG.4110,Marketing course,3,pool_4,Electives (Business),6 credits,,,,
pool,MIST.3030,Management Information Systems course,3,pool_4,Electives (Business),6 credits,,,,
pool,MIST.3040,Management Information Systems course,3,pool_4,Electives (Business),6 credits,,,,
pool,MIST.4060,Management Information Systems course,3,pool_4,Electives (Business),6 credits,,,,
pool,POMS.2010,Operations Management course,3,pool_4,Electives (Business),6 credits,,,,
pool,POMS.4050,Operations Management course,3,pool_4,Electives (Business),6 credits,,,,
pool,HSCI.2220,Health Sciences course,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,HSCI.3080,Global Health,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,HSCI.3400,Health Sciences course,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,PUBH.2050,Social Determinants of Health,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,PUBH.2070,The US Healthcare System,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,PUBH.2080,Principles of Environmental Health Science,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,PUBH.3010,Introduction to Biostatistics,3,pool_5,Electives (Health Sciences),6 credits,,,,
pool,PUBH.3050,Introduction to Epidemiology,3,pool_5,Electives (Health Sciences),6 credits,,,,
