slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
pool,THEA.3110,Play Production,3,pool_0,Required Production Course,1 course,,,,May be repeated for credit; choose one of THEA.3110 or THEA.4930
pool,THEA.4930,Practicum in Theatre,3,pool_0,Required Production Course,1 course,,,,May be repeated for credit
pool,ENGL.2330,Play Analysis,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,ENGL.3040,Playwriting,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,ENGL.3640,Performing Shakespeare,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.2020,Living Theatre: The Audience Experience,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.2210,Stagecraft,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.2300,Foundations of Theatrical Design,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.2610,Acting I,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.3110,Play Production,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.3400,Directing Workshop,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.3620,Acting II,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.3650,Voice and Movement for Actors,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.4010,Topics in Theatre,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.4900,Performance Practicum,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.4920,Technical Theatre Practicum,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.4940,Directed Study in Theatre,3,pool_1,Theatre Arts Workshops,2 courses,,,,
pool,THEA.2010,Introduction to Theatre,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.2100,Drama,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.2180,Comedy,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3440,Women in Theatre,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3480,Modern American Drama,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3590,Contemporary World Theatre,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3600,Medieval and Renaissance Theatre,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3610,Restoration Comedy,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3620,Modern Drama,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3630,English Renaissance Drama,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3635,Renaissance Comedy,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3640,African-American Drama,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3820,World Theatre I: Ancient Greece to 18th Century,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.3830,World Theatre II: 19th Century to the Present,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.4230,Shakespeare I,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,ENGL.4240,Shakespeare II,3,pool_2,Dramatic Literature / Theatre History,2 courses,,,,
pool,,Any Theatre Arts Minor Course,3,pool_3,Additional Elective,1 course,,,,Any course from the Theatre Arts minor course listing
