slot_type,course_id,course_name,credits,pool_id,pool_label,pool_requirement,prereq,coreq,min_grade,notes
required,FAHS.2300,Introduction to Video Game Studies,3,,,,,,,
pool,ARTS.1130,Digital Foundations,3,pool_1,Video Game Studies Electives,5 courses,,,,At least 6 credits at 3000-level or above; at least 9 credits from outside student's major
pool,ARTS.2760,3D Modeling and Animation I,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ARTS.2780,Interactive Media I,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ARTS.3780,Interactive Media II,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ARTS.3760,3D Modeling and Animation II,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ARTS.3811,Game Design: Narrative,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ARTS.4811,Game Design II,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.1000,Media Computing,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.1010,Computing 1,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.1130,Exploring the Internet,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.3500,Special Topics,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.4270,Computer Graphics I,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.4610,Graphical User Interface Programming I,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.4620,Graphical User Interface Programming II,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.4630,Mobile App Programming I,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,COMP.4631,Mobile App Programming II,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,DGMD.1000,Introduction to Digital Media,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,DGMD.1100,Introduction to Media Arts,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,DGMD.3000,Multimedia Storytelling,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,AEST.3620,Post Digital Aesthetics,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ENGL.3690,Reading and Writing New Media,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ENGL.3691,History and Theory of Media,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ENGL.3692,Writing about Video Games,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,ENGL.4320,Introduction to Digital Humanities,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,MUCM.3010,Creative Applications in Sound Design,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,MUCM.4000,Music and Sound for Games,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,POLI.2220,Politics of the Internet,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,POLI.4220,Political Communication and Media Studies,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,SOCI.2350,Digital Inequalities,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,HONR.3300,Seminar: Special Topic in Honors,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,THEA.3110,Play Production,3,pool_1,Video Game Studies Electives,5 courses,,,,
pool,THEA.3650,Voice and Movement,3,pool_1,Video Game Studies Electives,5 courses,,,,
